Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[186]     0.1     nan   1.08   -1.66   -0.71    0.31     1.1      1.5    nan   3.81
dc_1bs[187]    0.14     nan   1.28   -1.82   -0.83   -0.18    1.19     2.03    nan   2.73
dc_1bs[188]    0.08     nan    0.7   -1.22   -0.51   -0.29    0.62     1.13    nan   1.76
dc_1bs[189]    -0.2     nan   0.69   -1.16   -0.89   -0.29    0.55     0.71    nan   4.36
dc_1bs[190]    0.84     nan   0.67    -0.5    0.26    1.23    1.37     1.46    nan   3.22
dc_1bs[191]   -0.43     nan   0.98   -1.69   -1.58    0.18    0.34     0.75    nan   4.26
dc_1bs[192]    0.59     nan   0.78    -0.4 -4.9e-4    0.18    1.38     1.82    nan   6.19
dc_1bs[193]    0.04    0.73   1.12   -1.61   -1.14    0.16    0.87     1.53      2   3.66
dc_1bs[194]    0.44     nan   1.22   -1.25   -0.83    0.39    1.71     1.99    nan   4.01
dc_1bs[195]    0.35     nan   1.23   -1.54   -0.91    0.53     1.5     1.85    nan   5.29
dc_1bs[196]   -0.31     nan   0.88   -1.76   -1.19   -0.19    0.58     0.64    nan   6.36
dc_1bs[197]    0.47     nan   0.93   -0.85   -0.53    0.63    1.35     1.77    nan   2.59
dc_1bs[198]   -0.11     nan   1.38   -1.68   -1.46   -0.59    1.18      2.0    nan   5.98
dc_1bs[199]   -0.42     nan   1.14   -1.52   -1.34   -0.72   -0.35     2.07    nan   2.14
dc_1bs[200]    0.37     nan   0.73   -1.42   -0.36    0.24    0.92     1.32    nan   1.67
dc_1bs[201]    0.83     nan   0.89   -1.33    0.27     0.9    1.38     2.14    nan   1.51
dc_1bs[202]    0.06     nan   0.72   -1.13   -0.71    0.24    0.55     1.09    nan   3.18
dc_1bs[203]   -0.57     nan    1.0   -1.97   -1.63   -0.36    0.32     0.82    nan   2.88
dc_1bs[204]    0.08     nan   1.04   -1.38    -0.9    0.03    0.77     1.75    nan   3.45
dc_1bs[205]   -0.59     nan   0.97   -1.96   -1.49   -0.52    0.02      1.1    nan   4.44
dc_1bs[206]    0.05    0.67    1.1   -1.46   -0.69    -0.4    0.82     1.79      3   2.64
dc_1bs[207]   -0.23     nan   1.28   -1.55   -1.54   -0.93     0.9     1.82    nan   2.72
dc_1bs[208]    0.05     nan   0.51   -0.76   -0.37    0.12    0.56     0.72    nan   4.83
dc_1bs[209]    0.76     nan   0.85   -1.04    0.14    0.55    1.53     1.77    nan   1.68
dc_1bs[210]    -0.6     nan   1.05   -1.97   -1.65   -0.63    0.54     0.83    nan  12.31
dc_1bs[211]     0.1    0.64   1.05   -0.91   -0.81   -0.64    1.23     1.53      3   2.43
dc_1bs[212]   -0.36     nan   0.93   -1.54   -0.92    -0.5    0.34     1.31    nan   4.38
dc_1bs[213]   -0.52     nan   0.72   -1.48   -1.27   -0.36    0.28      0.5    nan   2.87
dc_1bs[214]   -0.15     nan    1.2   -1.93   -1.48   -0.27    0.52     1.67    nan   2.86
